review,sentiment,confidence
It was a really great experience for me and my friends. The pizzas were delicious. Desserts were on top. I would love to go there again and again. I would definitely visit it again. The view from there was also awesome.,Positive,95.31
"I recently visited a pizza place near Marines named Pizza by the Bay , and while the food was average, the ambiance made up for it. The views were absolutely stunning, offering a perfect backdrop for a relaxed dining experience.",Positive,81.17
"During my recent visit to Mumbai, I had the pleasure of dining at Pizza By the Bay, a charming restaurant overlooking the scenic Marine Drive. The location itself is a major highlight—sitting by the large windows",Positive,70.48
I think it is pretty hyped place. There are large crowd that comes and it gets noisy. The cost is too high and service okay.,Negative,80.31
"Worst experience, We are from Hyderabad and visited this place looking at the hype on social media. Pathetic place and staff. ",Negative,65.82
The location and ambiance of the place are really nice. We ordered the watermelon feta salad and the pepperoni pizza. ,Positive,82.04
"Came for breakfast and they happily served us even though we were a bit late for the 10:45am breakfast cut-off, food was tasty and reasonably priced",Positive,70.98
Surprisingly the place was good. The sandwich was filling and good. The coffee was fresh. ,Positive,98.24
"Really bad Pizzas for someone who has ""Pizza"" in their name. Anyone would expect above average pizza if you name yourself ""Pizza by the Bay"".",Negative,79.63
Wonderful restaurant! I never had this delicious pizza ever .,Positive,87.64
